0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0.6689174,-0.011875744,-0.41903025,-0.07454694,0.7246521,0.05361354,-0.10923311,0.36627972,0.8497517,-1.2783006,0.7653817,-0.23917699,-0.56045926,-0.4278653,-0.78617185,-0.8407133,-0.40860552,0.23170993,1.6772841,-1.1611956,-0.2464063,1.497407,0.0034839713,-0.08400679,0.14130373,-0.06890452,0.16255286,-0.84023327,-0.042565685,0.6959985,6.628141,0.2633806,-0.2616731,-0.33105323,-4.185435,0.81429297,0.29037926,0.25457212,1.229875,-1.3964589,0.67280596,0.8215528,0.46791324,-0.2167354,-1.2630438,0.24892193,1.7291772,0.16876806,-0.13132894,-0.32043654,0.058124267,1.0890082,-0.20620576,-0.09045568,-0.23470595,-0.09985854,-0.10401302,-0.40993902,0.20206423,0.038515087,-0.19874097,-1.0463238,-0.15721107,-0.45527023,-0.7819122,1.4242381,-0.7167862,-0.3025747,-0.36633494,-0.028618695
0.1490551,0.019323815,-0.051906385,-0.07595014,0.014498533,-0.85605067,0.35629022,0.38249612,1.1962811,-0.18096638,0.006031842,-0.48354357,0.59252495,-0.13883953,-0.029440116,0.08035521,-0.6150646,0.2095366,-0.54978836,-0.095662266,-0.31477758,-0.36046147,-0.22523314,-0.21184623,-0.21077824,0.39136717,0.1775354,0.36459926,1.1210546,-0.27375928,-4.19607,-0.08136712,0.1536443,0.5877818,-0.4218999,0.32735497,-0.31018126,0.69706565,-0.0828065,-0.45182326,0.14159197,0.840667,-1.7945167,-0.23454678,-0.08986756,-0.17404354,0.3508057,-0.64614314,0.85595524,0.19320536,0.40867078,0.30626643,-0.028125847,0.04916429,0.014937642,0.30130193,-0.49153176,-1.3839186,0.36217305,0.66924417,-0.77739775,0.21080947,0.8547136,0.38229173,0.16706888,0.57312787,0.35438135,-0.52735746,-0.70817715,0.26400793
0.08113041,0.29872042,0.2743812,-0.26469848,-0.4699888,-0.9423309,-0.11099443,0.31498334,0.83549935,-0.29258424,0.14432262,-0.31431624,0.37046334,-0.23891701,-0.6713511,0.21628,-0.5814427,-0.11830606,-0.62064433,0.55626416,-0.33788818,0.1361721,-0.10061485,0.052044895,-0.18894196,0.15283158,0.6454198,0.6421317,0.2002636,-0.3184723,-3.7962854,-0.2321941,-0.012616966,0.22258401,-0.37413913,0.13565013,-0.46720102,0.22940981,0.016845014,0.10810636,-0.61706394,0.7297635,-1.9655046,0.6763624,0.13990253,-0.08099188,0.14897308,0.04850158,0.9580297,-0.5422646,-0.4252948,0.22612888,-0.3139232,0.1273143,-0.2621303,-0.23032112,-0.1149631,-0.9298922,0.5456646,0.89694333,-0.15945147,0.19432703,0.34866446,0.32654426,0.4974026,0.7641035,0.760989,0.2603896,-0.51805943,0.001049382
0.21712033,0.20100527,-0.15037562,0.011412449,-0.20235203,-0.07399395,-0.15994135,0.18035248,-0.5698723,0.34393793,0.44993854,-0.2256951,-0.45445263,0.24554111,0.4533511,0.09417908,0.10152881,-0.2284688,-0.93972534,0.820136,-0.33002844,-0.5847287,0.1008094,0.40081027,-0.28204238,-0.21326205,0.28612337,0.6378165,0.3993382,-0.25438443,9.991773,-0.087112084,-0.13723038,-0.04704539,-7.351582,-0.5864803,0.1609762,-0.024379086,-0.46789113,0.63502985,-1.0072439,0.5164332,-0.24674185,0.18597361,1.1608218,0.091137335,-0.98149157,0.70501536,1.4701807,0.20192985,-0.45284203,-0.32311887,-0.49666497,-0.5174885,-0.094839886,0.02595399,-0.19649975,-1.2318946,0.26035583,-0.15354726,0.01594797,-0.14124459,0.027749324,0.12813647,0.99143314,-0.49230605,0.13397077,-0.43712664,-0.06994617,0.38152277
-0.059089758,0.16024444,0.28498334,-0.17969197,-0.38690025,0.14737852,-0.2329515,0.100870095,1.1766647,0.26847804,0.39268795,-0.30175072,0.6955191,-0.62815565,-1.3354859,0.18961205,-0.39047807,-0.14587751,-0.30949128,0.18599351,-0.33259916,0.10688454,-0.013441855,-0.52423567,-0.54501134,0.6253232,-0.17496514,0.16863246,0.7065025,-0.37237474,-3.6476903,-0.54338,-0.4838391,0.8922127,-0.2647226,-0.23706366,-0.27616847,0.4756297,0.24800685,-0.38277745,-0.5510214,0.45732775,-1.7421354,-0.009046606,0.68495786,0.43998146,0.47845858,-0.18021262,0.8481204,-0.034057565,0.60138994,0.18956721,-0.27385315,-0.38836196,-0.0642276,-0.92264163,-0.4141074,-0.768369,0.7311966,0.9896642,-0.2156135,1.0951669,0.8169684,0.28182814,0.69146377,0.26257515,0.35519755,0.22918518,-0.051624212,0.29417047
0.5259282,-0.11351502,-0.40528697,-0.21958193,0.032785892,-0.35744342,0.007981223,-0.13908187,-0.67133635,0.046744842,-0.004666864,0.28577763,0.22274472,0.05484932,-0.8915385,0.46870613,1.0428652,0.44486964,-1.0280308,0.7100597,0.39862797,0.57219607,0.27007937,1.2659217,0.5058509,-0.24508898,-0.18551552,0.30545363,-0.3560848,-0.1783225,-4.119894,0.13295096,0.65543807,0.49209744,-0.6142127,-0.48060003,0.4353842,-0.030604359,0.2108213,0.76663244,0.24770792,-0.15661782,1.6954892,-0.2799893,-0.36412266,-0.061015863,0.3009791,1.4275718,0.7715638,-0.28601757,-0.37155327,0.40464643,-0.5145264,0.42349988,-0.5980893,-0.40775546,-0.3477111,1.4044787,-0.3534795,0.13271885,0.24108396,-0.33183864,0.009631569,-0.6397498,0.07769838,0.5869129,-0.86746186,-0.10768268,-0.22439066,-0.80204326
0.14017409,-0.07524446,-0.04637994,-0.14971854,-0.26803795,0.02962942,-0.46304977,0.06722718,0.5950344,0.10279181,0.17255309,-0.26221064,1.4134831,-0.5294301,0.051732723,-0.10902428,0.032882273,-0.15677649,-0.31218708,-0.059219122,-0.09609709,0.052932367,0.10073941,-0.25601175,-0.611036,0.1404661,0.16744557,-0.047155432,0.48143366,-0.4531931,-4.2897205,-0.23273149,0.46461362,0.050892968,-0.46636522,-0.029210955,0.24053328,0.44090834,0.08122195,-0.019511066,-0.026442703,0.6148396,-1.9155846,-0.26398572,0.23821723,0.16246375,0.6008664,-0.28129733,0.9787689,-0.32233664,0.29103443,0.23444973,0.18385132,-0.23315427,0.25242156,-0.23409663,-0.52670956,-1.1488147,0.44340196,0.33675972,-0.20049204,-0.032283932,0.43562272,0.26754838,-0.34705055,0.6571743,0.20905623,-0.036179986,-0.046459053,0.07008664
0.46188456,0.15360418,-0.54651386,0.13391832,0.19674973,0.88221914,-0.07261971,0.40516543,-0.9819948,-0.68168443,0.22769973,0.27633134,-2.6334825,0.121417664,-0.5388449,0.8288018,-0.23766361,0.07073247,-0.48306862,-0.93966544,0.0066375853,-0.7848802,0.17782183,-0.26633203,-0.35804632,-0.18170007,-0.04675658,0.28068924,-0.50376797,0.4478104,-3.8787305,0.29171795,0.35475728,0.18495153,0.22471413,-0.7785084,0.26996532,-0.108440876,0.389212,-1.4780105,0.48770583,-0.091508985,0.75060844,0.6368388,-0.15155283,0.5101632,-0.4051599,0.6118747,-0.3068489,0.36976188,-0.3585637,-0.96338284,0.37436262,0.34637418,0.4657381,-0.10053904,1.1883157,1.6061891,0.47848037,-0.22861063,0.11358674,0.18277135,-0.47417098,-0.12526707,-0.7041392,-0.6873866,-0.57408214,-0.676629,0.1071308,0.47025636
0.22758704,0.15963346,-0.33127427,0.07136228,0.28291103,0.1406133,0.47764656,0.39519843,0.25558463,-0.16412324,0.07234159,0.7442744,-1.9724606,-0.03633047,0.68977666,0.5611316,0.2923798,0.22262186,-1.897208,-0.5561905,-0.0062656133,-0.60860074,-0.033334535,1.8555946,0.18970309,-0.0762058,0.5626637,0.5091889,-0.3288307,-0.25579572,-4.170009,0.6450641,-0.54155153,-0.63075733,-1.3768413,-0.25121972,0.55835146,0.3622328,-0.8421093,0.14998029,0.40219274,-0.7538111,1.4139556,0.7563605,-0.5052119,0.23067188,0.18613382,0.7652743,0.10284435,-0.26365414,-1.2068582,0.059879795,-0.23440705,-0.034415532,-0.49140066,0.65784514,-1.3463374,0.3278111,-1.0502647,0.15961279,0.19631027,-0.101672575,-0.041072853,-0.60500145,-0.20559688,-0.65679604,-0.5149737,-0.8249858,0.28304595,0.58209157
0.0070956135,0.17849064,0.34266,-0.75469923,0.22998163,-1.2621614,-0.30390927,-0.5397199,0.90806776,-0.45477724,-0.13078395,-0.1576878,0.4218668,-0.11426684,-0.4871283,0.222526,-0.5860584,-0.06930134,-0.6842051,-0.57368416,-0.4132878,0.23764975,0.03524782,-0.3525693,-0.3608806,0.49642062,0.09646012,0.37923995,1.2677774,-0.28606412,-4.0420156,-0.3286511,0.5172401,0.56953454,-0.3010633,-0.09840442,0.0909827,0.44420496,0.38059485,-0.20348093,-0.35444707,0.5517952,-2.36854,0.41867638,0.75256526,-0.05194947,0.046015203,-0.31507176,1.0622691,-0.56182194,-0.29121435,-0.2919856,-0.21143545,-0.1764946,-0.11398011,-0.67550004,-0.6568276,-1.0589498,0.06157431,0.68767035,0.18889798,0.5739494,-0.059163697,0.68747246,-0.06601118,0.83663136,0.5927372,-0.014116625,-1.0810804,0.18641739
