0,1,2,3,4
2.2277067,585.24054,-5.7644396,17.619656,-15.36149
1.8882911,584.407,-4.5491295,15.171875,-13.74169
4.9597454,587.17804,-6.7585373,14.173648,-4.9334164
5.580348,584.9267,-4.6895847,24.234772,-20.884617
3.25954,585.6869,-6.3640842,15.170193,-9.803113
2.2130525,584.0353,-4.892174,17.782518,-17.182425
1.0864094,585.6664,-6.5978737,13.965423,-9.846634
1.4398295,584.1044,-5.0318174,16.248863,-14.165476
2.1568246,584.2555,-5.28061,12.969436,-8.785728
1.3484033,583.7186,-4.544236,15.35047,-14.531992
1.8772306,585.48444,-5.442672,13.353046,-9.307843
2.6740797,584.8877,-5.176799,17.412556,-15.178108
1.4160496,585.2453,-5.699973,15.218435,-13.064246
2.5879812,584.1176,-4.6143236,17.851559,-16.841112
3.8225212,584.2112,-4.848916,16.248877,-12.046436
1.1413971,584.01733,-5.781391,15.418438,-13.328916
3.2234051,587.1825,-6.348732,17.148602,-11.697102
2.4220464,585.5959,-5.8487263,18.583971,-16.954098
1.7150905,584.7711,-4.979315,15.957433,-14.5679
2.431724,585.12335,-6.0169563,18.01458,-15.938337
2.590001,585.7531,-5.2858353,16.904018,-14.1869955
1.5510392,584.6129,-5.4729586,14.9091,-13.273449
-0.9360988,583.51697,-5.225725,11.549259,-10.043477
0.58349645,583.69275,-5.0042562,15.84198,-15.087196
-0.48741233,582.55963,-4.208187,10.186974,-9.247052
3.7850428,584.6193,-5.9448423,18.43702,-15.158382
3.990313,583.8981,-4.5024633,17.984043,-15.094236
2.1139278,583.49457,-3.7995768,14.591623,-12.470339
1.1583507,582.8903,-5.279462,12.608973,-9.9822235
-0.25817525,582.7532,-4.0424767,10.695896,-10.114777
0.8570179,582.9295,-5.1666756,13.182285,-11.953423
1.7306684,583.3235,-4.9687805,14.649052,-12.97114
3.1302645,584.0698,-4.529277,17.724566,-16.980604
-0.60540545,583.2218,-5.8519163,12.081274,-11.360136
1.6266336,584.73267,-4.48479,16.836014,-15.969473
2.4379933,585.1891,-3.5106258,17.211718,-16.424976
2.3215597,584.4064,-4.6498575,15.704003,-13.534793
1.4370588,584.808,-3.9144106,15.742209,-14.715244
1.3936018,583.5192,-3.553666,13.952473,-13.765256
1.8474748,584.1207,-5.4002695,17.13166,-15.863671
-0.79719067,582.21747,-4.4097586,8.60226,-8.181292
3.6480777,585.8254,-5.8172617,17.335642,-13.417431
2.5545597,585.5284,-5.7902765,16.290726,-12.287577
-0.32581925,582.6305,-5.2783766,12.056342,-10.824904
0.53923,585.0081,-5.301749,11.387875,-7.433811
2.6197577,584.9635,-6.7339935,16.77184,-12.281228
1.6194671,584.4914,-6.097584,16.588812,-14.565801
0.9484478,583.0467,-4.137021,12.893082,-11.4472885
0.7683153,583.2977,-6.4650536,12.956745,-9.716908
0.33097172,582.5233,-3.923336,11.40884,-10.538698
1.5130377,584.1068,-4.684717,15.185977,-13.663555
0.7235687,584.0573,-5.2423115,15.046907,-13.635986
2.0704298,584.83154,-6.32129,17.733927,-14.5195465
1.6836458,585.16766,-3.9684725,16.500977,-14.803005
-0.3305279,584.6869,-4.7857103,12.481826,-11.935392
2.6595764,583.8762,-5.1663637,17.138702,-14.190664
0.7328627,583.96313,-6.417841,14.175251,-10.765842
-1.5765495,585.47455,-7.046747,7.496172,-2.9843044
-1.228982,584.83777,-4.697625,12.326439,-12.0807705
1.1008946,584.7562,-3.8553581,11.2714815,-8.161898
0.89095175,584.43335,-3.9807892,15.302633,-14.2668705
2.0294755,584.8485,-4.782283,16.768604,-14.762364
2.305437,585.4136,-4.481304,16.138351,-13.919168
4.876035,585.59,-6.0778246,19.384617,-14.033159
1.2848815,583.9189,-5.1529465,14.985087,-13.337254
2.8450823,583.5419,-5.6648064,16.241184,-12.808741
-1.6384511,583.49695,-5.9462347,13.045476,-11.761487
2.0566304,584.3398,-5.5447435,16.899035,-13.977171
2.9138632,585.26514,-5.9307337,19.435818,-15.873838
0.56882215,583.36664,-5.7354584,12.826683,-10.404413
3.7786894,585.64746,-5.586258,14.934272,-9.240828
1.6697928,585.49457,-5.6874638,14.719409,-11.7088175
1.7438389,584.2354,-5.239747,16.394354,-14.84246
0.10460019,583.602,-4.442436,12.056938,-10.61953
-1.1139287,583.40393,-5.2107315,11.126751,-10.139568
3.2444036,586.4885,-5.0077257,16.361732,-13.139643
2.4595184,584.87354,-6.068407,16.024727,-11.342405
2.6550431,584.3844,-5.6776323,20.65011,-18.414455
2.5345664,585.2676,-3.639862,15.971976,-14.040549
1.6008431,584.0232,-5.6445446,15.311226,-12.523947
2.7529693,585.6044,-5.62852,15.133154,-10.121533
-0.7213391,583.64813,-5.5551586,12.224583,-10.974623
2.188109,584.59424,-5.8321276,17.136543,-14.1845875
1.1567953,583.806,-4.6111107,14.233385,-12.816789
3.1480515,584.8432,-5.1502485,18.9894,-17.784685
4.713535,585.6464,-4.917527,20.428219,-16.992369
1.6278186,584.94867,-5.48153,14.422752,-11.621146
2.2975886,583.3058,-4.6900473,16.381323,-15.021927
1.3829926,584.7413,-4.7068014,13.718276,-13.784494
0.8089832,583.48236,-5.462657,15.143309,-13.391322
1.9813008,584.8865,-6.2788296,13.958298,-9.211483
0.11886847,583.9572,-5.427885,14.245767,-13.043871
0.20376825,584.85004,-4.1846,13.632767,-13.0060835
0.3513466,586.36115,-5.419198,11.940513,-7.2191567
0.5535251,583.1286,-5.4025927,14.115582,-12.356609
1.7794839,583.1237,-5.573411,13.329595,-10.053502
3.8520613,585.6477,-6.9063206,18.996605,-14.477885
1.6547135,584.2445,-4.1880007,15.983795,-14.2576885
2.5878847,584.80536,-6.157379,17.253067,-13.606651
-1.2741927,586.14294,-5.9259615,8.707234,-5.2565207
-0.1541866,583.8526,-6.3271255,12.319059,-9.678856
