0,1,2,3,4
1.5568767,587.9897,3.3336954,22.403969,-1.56587
3.2560987,592.0387,3.6294053,19.505424,-5.816961
6.8074555,599.7783,2.6976476,25.806358,12.471643
4.233745,591.3611,4.2584243,30.707317,-6.7208724
4.345218,593.94653,1.5139732,18.872593,5.0708065
2.6389852,588.2063,1.9416524,21.052837,-2.3295789
0.5287589,599.8927,0.26233125,29.158276,1.8006861
4.1044164,594.1759,0.70251006,18.267683,-1.7789104
1.0434346,590.7469,-1.6069435,9.679363,1.1233114
-1.9708182,587.1907,-4.436447,13.42905,0.9523927
-1.3407869,588.6631,-0.6007352,17.890223,3.5868454
5.727233,600.525,1.5369173,22.98433,-2.1726108
-3.0168748,588.1138,-3.1817932,17.19103,4.9923973
5.0807796,596.17505,3.248992,17.774862,-3.0189476
0.9429766,587.4067,-1.2016534,9.674767,-2.1492612
2.364527,592.5809,-0.7339644,18.248514,-3.8088863
-0.5164051,590.99524,2.8056355,21.697088,3.8112092
-2.2491803,594.0866,1.107692,21.120579,-3.7342968
0.25256133,589.29175,-0.77736366,21.142168,-3.2835033
4.6922693,597.11707,5.7657595,26.22682,-5.058685
-1.6390688,587.5577,3.0369668,20.387215,2.0505629
1.9312458,592.4496,0.13499689,19.00817,-1.3098006
-2.561114,585.37744,-5.161536,4.010524,1.9035256
-5.4489384,586.0676,-2.1728883,22.335684,-8.767441
-1.730197,582.7951,-2.9145648,5.335044,3.3042805
5.1579094,586.76605,3.7345603,21.160782,-3.6054044
0.8649779,589.3851,1.4913833,23.325254,-1.3843207
1.0273653,592.70013,-0.34165704,19.360611,1.4701405
1.4101212,587.0914,-2.5795436,15.233593,1.4477831
-0.5927957,589.57446,-1.9770734,8.32488,-0.94034433
0.75499874,591.4102,-1.2995598,13.443487,-4.0619874
2.23992,591.0493,0.45546317,20.375088,-0.420254
4.64887,587.6005,5.3620143,23.54269,-6.0117784
-2.2604332,589.7586,-2.2381396,16.47893,-2.66469
2.0543063,598.4587,0.22961688,19.115303,-4.523175
0.8807946,589.6845,0.95936245,14.591614,-3.3395681
-5.9435563,585.5282,-4.3160295,22.039625,5.842149
-0.75501764,590.04034,-1.090646,14.198905,1.6013143
-1.3048391,587.0806,-1.0970864,8.219978,-0.11862928
2.6466427,593.1293,0.5025965,19.157558,-4.220067
-1.1413932,586.8357,-1.3525318,4.769622,2.6787627
2.7365658,585.65796,4.162386,22.029037,-1.7532171
1.7209628,591.681,1.6750978,19.93702,4.4145727
-0.14859271,593.88,-0.5492038,15.603673,0.032824874
-4.070871,584.6431,-3.920535,10.479804,8.564679
-2.2027133,586.19165,-1.4571285,18.153488,-0.94217604
0.8807105,595.4287,-0.04589963,21.38585,-2.6507573
4.981587,595.04114,-0.24158126,18.893404,0.36207664
2.4184368,590.4655,-2.620787,11.906209,1.220587
-3.1390066,590.3737,-2.8362615,11.463465,2.6434114
0.24814647,586.4067,-0.39513564,14.744344,-2.8111444
-1.9407377,585.2449,-0.36601365,10.551832,-1.9874334
1.3226631,590.7352,-1.0634129,16.366776,-4.2364798
-2.0117574,587.3514,-1.1802573,9.017711,3.556182
-4.2005844,586.29517,-3.5697553,9.807777,3.9631157
-1.2069116,588.3592,-2.0576715,14.453743,1.3657116
-1.3679554,585.6128,-5.40849,9.549827,1.4508194
1.0037596,596.72974,-4.7671175,6.78907,11.01076
-1.605583,596.55835,-5.8796964,8.445794,7.325699
-0.5362921,589.32495,2.3457627,17.673489,6.819909
-2.4503808,588.755,-3.544407,12.378443,1.6543016
-7.643217,587.4433,-3.541265,18.781422,4.7076235
-3.4326105,582.7957,-1.9163034,20.594877,5.962596
3.52642,591.07806,0.46224362,21.079693,-1.4014723
2.3560493,602.7695,-2.8371005,12.52088,-1.960911
3.34605,587.3181,0.976416,19.633617,-2.9145217
-2.3323145,594.23865,-5.699496,8.587041,-1.3545514
4.3434477,597.6414,1.1400701,18.99564,-1.5326632
2.1014237,591.36926,-0.09926641,16.733932,-4.1626863
-0.83730245,582.16736,-3.960748,7.9372377,-0.20272273
2.3175774,590.86206,-4.145052,12.362977,9.657582
-2.2670808,597.0833,-2.6134043,12.471703,4.1032724
2.373894,598.49316,1.7406733,20.320457,-2.4355125
-0.688658,593.94586,-4.1346655,8.655744,7.7337937
-2.8092415,594.046,-2.0995464,9.956349,0.04154861
-4.038391,589.78326,0.82562387,15.504229,2.0482059
-2.0021322,591.6885,-4.0954914,8.037209,3.337434
1.190591,592.7202,0.35261536,22.84754,-11.178806
2.9011374,589.5261,-0.056534708,10.705185,4.6000986
-1.7178497,584.7748,-6.104231,15.727845,4.7717743
-8.111797,589.6391,-8.642853,17.338129,9.676762
-1.7837069,594.6392,-4.5835094,10.445807,-0.8267914
2.8419204,597.6562,-1.713166,18.855833,-0.4623835
-1.947053,584.65265,-6.319379,16.126728,3.821688
5.498633,596.8515,5.174801,26.97397,-5.32888
3.1347613,598.9475,4.8519635,20.60392,-4.823616
-3.2219994,588.12714,-1.7028941,21.05647,1.922839
5.8603544,589.4776,2.6271045,17.536726,-1.794878
3.0466654,592.12976,3.2920036,11.414669,-2.5908399
1.021831,584.2141,-2.906424,9.883361,-2.3145394
-1.648691,593.1033,-3.9159622,12.614309,7.9785843
-4.4789486,582.7082,-4.586391,14.765083,-6.148638
-5.977072,589.5539,-3.937594,8.205512,1.0938933
6.4635906,598.23865,-0.26139307,15.090313,9.839086
3.5136554,594.4911,0.6516192,14.868656,-1.1816189
1.350842,583.33875,-3.2080684,7.7736425,1.1173526
3.7663808,592.9342,1.9227858,25.858461,-1.764627
0.60681736,593.6239,-4.2053204,8.698586,2.709349
2.6073549,593.4561,1.5581627,23.878378,-1.7428586
-0.121169925,598.1047,-8.232706,-3.0876176,11.101632
2.4504378,588.99695,-2.2677855,7.9400387,2.7911272
-8.234045,583.284,-7.6080356,22.763384,4.553443
6.4311204,595.25183,3.0208602,18.374567,-3.6191783
