0,1,2,3,4
5.614716,584.93774,-5.9508,27.044151,-23.8815
6.454488,585.23114,-6.544838,28.420826,-24.712402
7.0882206,586.46094,-6.5810947,31.899433,-28.816343
6.4454994,584.9483,-6.4993744,27.087063,-22.844742
2.6092796,585.52563,-8.030314,20.675913,-16.48445
5.0111914,585.41394,-7.062289,28.262047,-25.164219
4.9966917,585.4212,-6.9691496,26.326893,-22.978275
7.59976,586.6026,-6.840225,33.672157,-30.697817
4.11516,584.90375,-7.4944077,25.950394,-22.831228
5.392561,585.0319,-6.3384504,26.318504,-22.131067
4.8092475,585.24304,-6.6150236,26.264156,-22.95212
2.2947307,585.35376,-7.0064135,21.668783,-18.532864
6.866206,586.2632,-6.9426355,32.37898,-29.721848
7.5716486,586.4457,-7.2311497,33.707825,-30.471262
6.892214,586.0429,-6.9241962,32.129234,-28.971375
5.97508,585.76776,-7.1665087,30.713924,-27.882683
5.2129536,585.98517,-7.080757,28.555101,-25.710905
5.921885,584.7911,-6.0090065,27.326317,-23.900349
5.70586,585.5049,-6.294301,23.703241,-18.480923
5.7374783,586.38556,-7.260268,30.654236,-27.440794
4.1945057,585.679,-6.8542156,25.985266,-23.757576
5.897304,585.2837,-6.5914383,27.450775,-23.530928
6.804765,585.3488,-6.5386705,30.465727,-26.929516
7.0914645,585.6338,-6.656994,30.78198,-27.249325
7.4797697,585.6063,-7.166626,32.239372,-28.100157
7.4933567,585.78467,-6.6765547,32.71414,-29.924915
4.2361813,584.5251,-5.85592,21.645935,-17.289604
4.8503795,585.7178,-6.4566593,27.81559,-25.182865
6.5559587,586.37787,-7.385291,31.770239,-28.3161
4.918044,585.5399,-7.076915,28.33553,-25.979933
5.8240438,585.3533,-7.386286,28.70684,-24.58601
6.6953616,586.0963,-6.6340485,30.805984,-27.933228
0.9890063,584.97925,-7.2691565,16.007744,-11.18925
7.1932034,585.528,-6.716773,31.174555,-27.182886
6.858208,586.3876,-6.770214,31.575794,-28.420645
7.6109324,586.5288,-7.210162,33.337116,-30.484282
7.221277,586.38,-7.2984076,32.346943,-28.962267
7.1623235,586.1568,-6.824196,31.482967,-28.033081
1.6107389,584.85315,-7.094328,16.834566,-12.987932
3.9208694,585.4025,-6.2458754,24.79262,-22.479843
6.270238,585.1252,-6.56164,30.384775,-27.449982
6.298911,585.5138,-7.2279835,30.769804,-27.007065
5.6729517,585.6312,-7.225383,29.200203,-26.09538
4.365162,584.82513,-6.9666405,25.5471,-21.659742
6.587268,585.78467,-6.7827597,31.726873,-29.079391
4.9843097,584.5957,-6.0202045,26.238295,-22.656908
5.1123195,585.6819,-6.844902,27.224064,-23.978855
6.0646915,585.5749,-6.453594,26.048243,-21.084087
3.6894035,584.134,-6.5251923,24.613111,-21.28356
5.4358053,584.9993,-7.055421,28.44033,-24.27346
6.0722075,586.0207,-6.61959,29.989405,-26.973286
4.7031198,585.234,-6.0166435,23.749523,-19.661678
6.544501,585.84644,-6.6052666,30.44909,-27.231874
6.617345,584.9309,-6.3623104,29.310469,-25.779583
6.208531,585.7377,-6.602687,29.609957,-26.043812
7.7332797,586.5535,-6.723588,32.878647,-29.795122
4.160505,584.517,-6.061393,26.171478,-23.812897
6.9766183,585.576,-6.8676386,31.217012,-27.403666
7.039867,585.83276,-6.8152065,31.648827,-28.58083
6.3628316,586.3967,-6.7114515,30.492641,-27.670204
