0,1,2,3,4
-2.6848059,584.8041,1.2318673,40.418804,-15.648771
0.99337107,592.0198,1.7519846,43.691414,-17.820848
-3.109402,584.413,1.6825355,44.15622,-19.264221
-2.7016249,587.5072,1.2316447,42.372406,-16.173052
-4.491421,587.6932,-3.0293405,35.160553,-5.853794
-4.6522236,583.52893,-1.5247852,36.099625,-17.715887
-4.0260253,584.4924,-0.32416552,38.797714,-11.647327
-0.93439436,586.0748,1.4403739,47.213234,-21.760075
-5.176616,581.08575,-0.41015273,37.831852,-14.035623
-2.8939435,582.7739,-1.8124734,37.31465,-14.74942
-5.400813,585.38916,-0.107369065,38.599834,-13.762913
-5.971235,583.20544,-3.5921164,30.473463,-10.486946
-3.6009,587.3424,-1.6441079,43.215397,-18.315216
-0.9711447,584.1178,1.8873556,48.484577,-22.70455
-3.3115246,583.6221,-0.057416975,44.25142,-20.9364
-3.504433,583.34235,1.2858421,42.433273,-19.361765
-3.8039966,580.7658,1.0168546,40.835537,-17.097313
-2.9883738,582.0413,-2.5668912,36.91512,-17.293064
-1.8861814,581.6066,-0.6715263,34.56725,-8.563249
-4.914366,585.9426,0.43747473,40.119186,-18.9556
-5.1926975,583.57806,-0.7646228,34.989475,-15.063437
-2.5207005,584.7183,-1.354944,40.05701,-13.780791
-1.7319305,584.27625,1.140586,45.72178,-18.713894
-3.5130072,584.48315,0.17800826,45.383644,-18.680908
-3.4653025,582.5646,-1.5711132,42.912563,-15.638079
-1.6754235,587.5861,1.9277375,49.670948,-22.113024
-2.8940206,582.0851,-0.92420137,35.746483,-7.9025373
-3.8806515,585.4337,1.0970069,35.96509,-14.450607
-2.3340416,585.8755,2.1993012,46.746742,-20.085388
-5.3006897,583.7676,-0.9967135,40.659027,-12.634116
-3.9639347,582.77704,-0.59049135,40.136013,-15.80908
-2.6974273,584.2437,0.6068417,43.033154,-21.17214
-6.5072675,583.69476,-5.813233,24.873009,-1.9309026
-2.2187514,584.3489,-0.56460345,43.917076,-18.466856
-3.6096597,584.3729,1.3399227,43.163315,-18.960678
-2.8431249,587.58264,1.9104322,46.70078,-20.350557
-2.4157214,584.92096,0.5672404,43.63158,-19.493576
-1.7736213,584.2406,-0.27663183,44.859787,-21.046928
-6.3642445,590.0104,-2.2240596,32.132706,-3.1357932
-5.4846554,583.6839,-0.7744198,34.011093,-14.717066
-0.7110599,587.32556,1.1050817,45.53433,-21.103065
-3.032113,582.53534,-0.14181018,41.600803,-17.963984
-4.497493,583.86597,0.007866621,41.026485,-16.126045
-4.595431,583.8196,-2.3483348,35.202633,-15.45581
-2.8973103,582.4885,-0.18047196,42.388313,-20.619577
-3.8544557,581.2611,-4.840867,27.98137,-9.776567
